KFC;;
Followers = 1.8M Followes;;
;;
;giannis_platias;I need it!!
;mohamed_said_elhalhoui;This company contributes to genocide in Palestine
;thetwillightstar;Boy
;mark_j_kc;Whatever you do, don't use their app. If you have any issue the store can not refund you and I've already been waiting 5 days for a refund...
;r.hsv;@kfcbahrain
;imnare.sh;Can I get a free chizza
;sincerely_kosi;KFC in Nigeria is ableist refusing people who are using wheelchair to access food
;smileyiswhatido;The chizza looks good but it tast god awful and are really small
;boougiebadhabitt;Now why would yall make this nasty shxt then had the nerve to take away Nashville hot who n the fxck is coming with this nonsense some one is purposely running away customers
;iluv.kitties_;BRO.
;fatboylast;I'm here because of Stephen Colbert!! Good advertising!! I'm gonna try it now 💯
;heba.harb3;#disgusting keep it for yourself
;puromerca;what 😳
;missmanarose;Bring back potato wedges and the OG Twister wrap.
;dayan.tariq;she kentuckys on my fried til i chicken
;aimev_31;25 seconds ago is wild
;jeremypadawer;I miss the chocolate parfait.Bring it back. ❤❤❤🔥🔥
;beharryjudy123;Y'all prices are too high.
;osafort27;Boycott kfc
;jaan1_4300000;🇵🇸🇵🇸🇵🇸🇵🇸
;smoresdefend9;Sticky chicky
;nadeem.haxxan;#Boycott_kfc free Palestine🇵🇸🇵🇸🇵🇸
;cdx;Here to see the perverts.
;chaparrovivianjasbleydycastro;FORMARON CON LA MIEL LAS PAPILAS GUSTATIVAS🤣Y LA CAMPANA DE LA GARGANTA CAMPANITA Y AMIGDALAS DE MIELJEJE JAJA👄🔔 CUANT
;ayush__4224;boycottttisraellll
;mkbbkbo;#bojkott
;vforvertel;@slickvicwilliams 👀👀
;aditya8539965;IsNotReal 🇵🇸
;joerellan;#BOYCOTTTTTTTT
;kool_j_747;Buffalo?
;smoresdefend9;Sriracha
;vforvertel;@yvett_g 👀
;grannysoffherrocker;😍
;officialthreadsnewsglobal;Yummy yummy ❤️❤️❤️❤️
;mandy.popper;I get my wisdom teeth out on that day and I work for you.  Can I have a payed vacation
;danielleenoth;Honey mustard!
;mackynzie__;Sticky chicky
;_brianasantana_;Bring back the bbq wings and potato wedges 😢
;unholy.alternative;This is almost too saucy for IG 😳 Thank you Colonel.
;katietdyer;I should call her
;joshie.bedgood;Plz be nashville hot. Other flavors not acceptable
;hakmehr;😍🔥👏
;fredh1963;BRING BACK HONEY BBQ WINGS!!!!!!!!
;alexisbrochtrup;Bring back Nashville hot tenders
;willibeest;I’m going to trust you on this one.
;postingg_kfc;Stop posting, I can't take it anymore🥺
;kayy.mwa;answer my dm
;dhfvn865_;🇵🇸🇵🇸🇵🇸🇵🇸
;ak4_anshu;israelbojkott 🇵🇸
;doneedone_fhialpha;StopTheZionist
;aminosnsu;Zionisttttt🇵🇸🍉
;valerio.verdugo;genocídu 🍉🍉
